game_nr,object,fixed indices,context condition,message
1258,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
218,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
1479,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
1679,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
1547,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
1258,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
863,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
650,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
605,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
362,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
362,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
218,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
1547,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
1446,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
1467,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
863,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
63,[3. 1. 2.],[1. 1. 1.],0,"[13, 13, 13, 0]"
543,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
708,[3. 1. 2.],[1. 1. 1.],2,"[13, 13, 13, 0]"
1290,[3. 1. 2.],[1. 1. 1.],1,"[13, 13, 13, 0]"
