game_nr,object,fixed indices,context condition,message
1176,[1. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
268,[0. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
463,[1. 1. 2.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1358,[0. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
268,[0. 1. 2.],[0. 1. 0.],0,"[11, 5, 5, 0]"
463,[3. 1. 2.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1176,[3. 1. 3.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1644,[3. 1. 0.],[0. 1. 0.],0,"[11, 5, 5, 0]"
393,[3. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1176,[3. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1358,[3. 1. 3.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1644,[2. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1358,[3. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
463,[2. 1. 0.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1358,[2. 1. 3.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1644,[0. 1. 2.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1644,[1. 1. 1.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1176,[0. 1. 0.],[0. 1. 0.],0,"[11, 5, 5, 0]"
1644,[0. 1. 3.],[0. 1. 0.],0,"[11, 5, 5, 0]"
463,[1. 1. 0.],[0. 1. 0.],0,"[11, 5, 5, 0]"
