game_nr,object,fixed indices,context condition,message
526,[1. 0. 1.],[1. 1. 0.],1,"[8, 4, 8, 0]"
355,[1. 0. 3.],[1. 1. 0.],0,"[8, 4, 8, 0]"
1033,[1. 0. 0.],[1. 1. 0.],0,"[8, 4, 8, 0]"
490,[1. 0. 2.],[1. 1. 0.],0,"[8, 4, 8, 0]"
1705,[1. 0. 2.],[1. 1. 0.],1,"[8, 4, 8, 0]"
1410,[1. 0. 3.],[1. 1. 0.],1,"[8, 4, 8, 0]"
490,[1. 0. 0.],[1. 1. 0.],0,"[8, 4, 8, 0]"
803,[1. 0. 3.],[1. 1. 0.],0,"[8, 4, 8, 0]"
890,[1. 0. 0.],[1. 1. 0.],1,"[8, 4, 8, 0]"
567,[1. 0. 2.],[1. 1. 0.],1,"[8, 4, 8, 0]"
355,[1. 0. 3.],[1. 1. 0.],0,"[8, 4, 8, 0]"
526,[1. 0. 1.],[1. 1. 0.],1,"[8, 4, 8, 0]"
536,[1. 0. 3.],[1. 1. 0.],0,"[8, 4, 8, 0]"
803,[1. 0. 0.],[1. 1. 0.],0,"[8, 4, 8, 0]"
536,[1. 0. 1.],[1. 1. 0.],0,"[8, 4, 8, 0]"
567,[1. 0. 2.],[1. 1. 0.],1,"[8, 4, 8, 0]"
355,[1. 0. 1.],[1. 1. 0.],0,"[8, 4, 8, 0]"
1472,[1. 0. 0.],[1. 1. 0.],0,"[8, 4, 8, 0]"
567,[1. 0. 3.],[1. 1. 0.],1,"[8, 4, 8, 0]"
1410,[1. 0. 3.],[1. 1. 0.],1,"[8, 4, 8, 0]"
