game_nr,object,fixed indices,context condition,message
737,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1649,[0. 2. 1.],[1. 1. 1.],0,"[2, 3, 3, 0]"
632,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
1252,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
744,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1744,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
242,[0. 2. 1.],[1. 1. 1.],1,"[2, 3, 3, 0]"
1216,[0. 2. 1.],[1. 1. 1.],0,"[2, 10, 3, 0]"
1252,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
637,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
1443,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1443,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1649,[0. 2. 1.],[1. 1. 1.],0,"[2, 3, 3, 0]"
1734,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
744,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
1734,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
1252,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
744,[0. 2. 1.],[1. 1. 1.],1,"[2, 10, 3, 0]"
242,[0. 2. 1.],[1. 1. 1.],1,"[2, 3, 3, 0]"
1734,[0. 2. 1.],[1. 1. 1.],2,"[2, 10, 3, 0]"
