game_nr,object,fixed indices,context condition,message
1057,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
1523,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 6, 0]"
753,[2. 1. 3.],[1. 1. 1.],0,"[13, 6, 2, 0]"
447,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 6, 0]"
1057,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
150,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 6, 0]"
150,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 6, 0]"
1273,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 2, 0]"
753,[2. 1. 3.],[1. 1. 1.],0,"[13, 6, 2, 0]"
1027,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
1523,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 6, 0]"
1121,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 2, 0]"
219,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 6, 0]"
1273,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 2, 0]"
1490,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 2, 0]"
1224,[2. 1. 3.],[1. 1. 1.],0,"[13, 2, 6, 0]"
195,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
677,[2. 1. 3.],[1. 1. 1.],1,"[13, 2, 2, 0]"
854,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
1027,[2. 1. 3.],[1. 1. 1.],2,"[13, 2, 2, 0]"
