game_nr,object,fixed indices,context condition,message
134,[1. 3. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1065,[0. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
184,[0. 3. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1522,[1. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
134,[2. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
184,[1. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1522,[2. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1056,[1. 1. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
433,[1. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
433,[1. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1056,[0. 1. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
433,[2. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
761,[1. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
184,[2. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1056,[0. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
761,[0. 1. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
433,[0. 2. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1211,[2. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
1211,[1. 0. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
433,[1. 1. 2.],[0. 0. 1.],0,"[11, 11, 11, 0]"
