game_nr,object,fixed indices,message
487,[6. 6. 6.],[0. 1. 0.],"[1, 10, 1, 0]"
3421,[5. 6. 1.],[0. 1. 0.],"[1, 10, 1, 0]"
7904,[7. 6. 7.],[0. 1. 0.],"[1, 10, 1, 0]"
487,[0. 6. 2.],[0. 1. 0.],"[1, 10, 1, 0]"
11513,[5. 6. 0.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[0. 6. 3.],[0. 1. 0.],"[1, 10, 1, 0]"
1811,[7. 6. 0.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[6. 6. 2.],[0. 1. 0.],"[1, 10, 1, 0]"
7904,[6. 6. 2.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[5. 6. 0.],[0. 1. 0.],"[1, 10, 1, 0]"
3421,[2. 6. 5.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[3. 6. 0.],[0. 1. 0.],"[1, 10, 1, 0]"
11513,[3. 6. 3.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[2. 6. 0.],[0. 1. 0.],"[1, 10, 1, 0]"
11513,[7. 6. 5.],[0. 1. 0.],"[1, 10, 1, 0]"
487,[3. 6. 2.],[0. 1. 0.],"[1, 10, 1, 0]"
7876,[5. 6. 1.],[0. 1. 0.],"[1, 10, 1, 0]"
1811,[2. 6. 1.],[0. 1. 0.],"[1, 10, 1, 0]"
7904,[0. 6. 2.],[0. 1. 0.],"[1, 10, 1, 0]"
3421,[2. 6. 6.],[0. 1. 0.],"[1, 10, 1, 0]"
