game_nr,object,fixed indices,context condition,message
10957,[0. 1. 3. 2.],[1. 1. 1. 1.],2,"[1, 3, 11, 5, 0]"
8269,[0. 1. 3. 2.],[1. 1. 1. 1.],0,"[1, 3, 11, 9, 0]"
9794,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 5, 0]"
9336,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 9, 0]"
5745,[0. 1. 3. 2.],[1. 1. 1. 1.],3,"[1, 3, 11, 5, 0]"
8196,[0. 1. 3. 2.],[1. 1. 1. 1.],3,"[1, 3, 11, 5, 0]"
8035,[0. 1. 3. 2.],[1. 1. 1. 1.],3,"[1, 3, 11, 5, 0]"
7184,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 5, 0]"
6174,[0. 1. 3. 2.],[1. 1. 1. 1.],0,"[1, 3, 11, 5, 0]"
4026,[0. 1. 3. 2.],[1. 1. 1. 1.],3,"[1, 3, 11, 9, 0]"
9794,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 5, 0]"
4114,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 9, 0]"
11900,[0. 1. 3. 2.],[1. 1. 1. 1.],2,"[1, 3, 11, 5, 0]"
4670,[0. 1. 3. 2.],[1. 1. 1. 1.],2,"[1, 3, 11, 5, 0]"
6616,[0. 1. 3. 2.],[1. 1. 1. 1.],0,"[1, 3, 11, 5, 0]"
6043,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 5, 0]"
4026,[0. 1. 3. 2.],[1. 1. 1. 1.],3,"[1, 3, 11, 9, 0]"
11900,[0. 1. 3. 2.],[1. 1. 1. 1.],2,"[1, 3, 11, 5, 0]"
3282,[0. 1. 3. 2.],[1. 1. 1. 1.],2,"[1, 3, 11, 9, 0]"
4114,[0. 1. 3. 2.],[1. 1. 1. 1.],1,"[1, 3, 11, 9, 0]"
