game_nr,object,fixed indices,context condition,message
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
451,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
466,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1789,[2. 0. 2. 3.],[1. 1. 1. 1.],3,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1858,[2. 0. 2. 3.],[1. 1. 1. 1.],2,"[11, 1, 11, 3, 0]"
1956,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
1956,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
1956,[2. 0. 2. 3.],[1. 1. 1. 1.],1,"[11, 1, 11, 3, 0]"
