game_nr,object,fixed indices,context condition,message
2596,[2. 3. 0. 1.],[1. 1. 1. 1.],1,"[12, 4, 9, 9, 0]"
3109,[2. 3. 0. 1.],[1. 1. 1. 1.],2,"[12, 4, 9, 9, 0]"
191,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 15, 9, 9, 0]"
11991,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
1366,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
7243,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 4, 9, 9, 0]"
9663,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
7147,[2. 3. 0. 1.],[1. 1. 1. 1.],2,"[12, 15, 9, 9, 0]"
10624,[2. 3. 0. 1.],[1. 1. 1. 1.],1,"[12, 15, 9, 9, 0]"
11112,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 15, 9, 9, 0]"
3852,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 4, 9, 9, 0]"
191,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 15, 9, 9, 0]"
7243,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 4, 9, 9, 0]"
11991,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
7892,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
10846,[2. 3. 0. 1.],[1. 1. 1. 1.],2,"[12, 15, 9, 9, 0]"
10624,[2. 3. 0. 1.],[1. 1. 1. 1.],1,"[12, 15, 9, 9, 0]"
1366,[2. 3. 0. 1.],[1. 1. 1. 1.],3,"[12, 4, 9, 9, 0]"
2596,[2. 3. 0. 1.],[1. 1. 1. 1.],1,"[12, 4, 9, 9, 0]"
5380,[2. 3. 0. 1.],[1. 1. 1. 1.],0,"[12, 15, 9, 9, 0]"
