game_nr,object,fixed indices,context condition,message
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
402,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
663,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
970,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[8, 11, 11, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1256,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1610,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
1715,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 13, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2617,[2. 3. 2. 0.],[1. 1. 1. 1.],0,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
2658,[2. 3. 2. 0.],[1. 1. 1. 1.],3,"[12, 11, 1, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
3119,[2. 3. 2. 0.],[1. 1. 1. 1.],1,"[12, 11, 13, 1, 0]"
4055,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
4055,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
4055,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
4055,[2. 3. 2. 0.],[1. 1. 1. 1.],2,"[12, 11, 1, 1, 0]"
