game_nr,object,fixed indices,message
87724,[1. 2. 2. 1.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
131983,[5. 2. 2. 4.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
106810,[4. 6. 2. 0.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
106810,[5. 2. 2. 1.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
107024,[0. 0. 2. 4.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
131983,[7. 6. 2. 7.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
87724,[6. 6. 2. 5.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
131983,[5. 5. 2. 3.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
87724,[4. 6. 2. 4.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
113513,[0. 7. 2. 6.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
107024,[4. 1. 2. 7.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
106810,[2. 4. 2. 0.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
60055,[4. 6. 2. 6.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
131983,[0. 7. 2. 5.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
107024,[3. 3. 2. 4.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
106810,[3. 4. 2. 1.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
87724,[3. 5. 2. 1.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
60055,[0. 3. 2. 7.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
131983,[2. 3. 2. 5.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
107024,[4. 2. 2. 2.],[0. 0. 1. 0.],"[17, 17, 17, 17, 0]"
