game_nr,object,fixed indices,message
42262,[6. 4. 5. 5.],[0. 0. 1. 0.],"[15, 13, 4, 13, 0]"
21805,[1. 2. 5. 1.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
42262,[5. 6. 5. 0.],[0. 0. 1. 0.],"[15, 13, 4, 13, 0]"
21939,[6. 5. 5. 4.],[0. 0. 1. 0.],"[15, 13, 13, 4, 0]"
42262,[0. 5. 5. 4.],[0. 0. 1. 0.],"[15, 13, 4, 13, 0]"
13468,[3. 6. 5. 1.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
13468,[2. 2. 5. 3.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
21939,[0. 2. 5. 5.],[0. 0. 1. 0.],"[15, 13, 13, 4, 0]"
44176,[4. 6. 5. 1.],[0. 0. 1. 0.],"[12, 13, 13, 4, 0]"
29485,[0. 3. 5. 7.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
44176,[6. 0. 5. 3.],[0. 0. 1. 0.],"[12, 13, 13, 4, 0]"
21939,[4. 3. 5. 6.],[0. 0. 1. 0.],"[15, 13, 13, 4, 0]"
29485,[5. 7. 5. 6.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
49814,[0. 4. 5. 6.],[0. 0. 1. 0.],"[12, 13, 4, 13, 0]"
44176,[6. 4. 5. 3.],[0. 0. 1. 0.],"[12, 13, 13, 4, 0]"
29485,[3. 4. 5. 5.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
49814,[4. 2. 5. 1.],[0. 0. 1. 0.],"[12, 13, 4, 13, 0]"
13468,[1. 6. 5. 5.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
13468,[1. 3. 5. 3.],[0. 0. 1. 0.],"[12, 13, 13, 13, 0]"
21939,[0. 4. 5. 0.],[0. 0. 1. 0.],"[15, 13, 13, 4, 0]"
