game_nr,object,fixed indices,message
18656,[3. 0. 2. 5.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
27608,[3. 0. 1. 2.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
27608,[7. 0. 5. 2.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
1965,[4. 0. 5. 5.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
9014,[3. 0. 2. 1.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
18656,[5. 0. 5. 3.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
9014,[6. 0. 5. 2.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
18656,[6. 0. 1. 0.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
1965,[4. 0. 2. 6.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
13449,[3. 0. 4. 1.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
27608,[5. 0. 0. 5.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
27608,[1. 0. 1. 3.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
18656,[0. 0. 7. 1.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
1965,[4. 0. 3. 4.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
17096,[0. 0. 4. 5.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
5958,[2. 0. 1. 5.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
18656,[4. 0. 3. 1.],[0. 1. 0. 0.],"[18, 18, 12, 4, 0]"
13449,[7. 0. 1. 3.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
1965,[6. 0. 7. 2.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
17096,[5. 0. 3. 5.],[0. 1. 0. 0.],"[18, 18, 12, 12, 0]"
